person_id,full_name,alias,date_of_birth,gender,nationality,occupation,address,city,state,postal_code,status,source_id,confidence_score,created_at,updated_at
P00001,Neha Patel,,1990-04-13,Male,Indian,Accountant,"43/321, Chahal Circle",Indore,Madhya Pradesh,001338,Active,SRC024,0.8,2025-08-08 18:20:28,2025-06-30 02:11:40
P00002,Isha Tiwari,,1994-03-10,Male,Indian,Business Owner,"794
Dutta Nagar",Ujjain,Madhya Pradesh,542351,Active,SRC007,0.83,2024-03-31 05:48:03,2024-04-04 02:31:14
P00003,Yash Sharma,,2000-11-22,Female,Indian,Accountant,"H.No. 781
Brar Marg",Kanpur,Uttar Pradesh,959310,Inactive,SRC019,0.84,2025-10-05 09:49:15,2026-01-22 04:41:30
P00004,Riya Sharma,,2007-12-01,Female,Indian,Consultant,"H.No. 647, Gaba Path",Dewas,Madhya Pradesh,534192,Active,SRC007,0.98,2025-06-03 17:14:03,2024-08-26 04:49:29
P00005,Sanjay Patel,,1981-03-30,Female,Indian,Technician,"83/503
Mutti Nagar",Ujjain,Madhya Pradesh,413953,Under Review,SRC009,0.95,2025-09-29 17:48:13,2025-01-19 22:47:46
P00006,Isha Yadav,I. Yadav,2004-04-24,Female,Indian,Driver,"423
Yohannan Circle",Kanpur,Uttar Pradesh,969653,Under Review,SRC010,0.95,2026-08-28 09:33:05,2024-05-14 14:19:22
P00007,Yash Saxena,,1982-11-03,Male,Indian,Business Owner,"H.No. 226, Bhatt",Hyderabad,Telangana,697848,Under Review,SRC008,0.94,2026-04-17 12:55:39,2024-01-12 04:06:17
P00008,Aditya Jain,,1994-06-05,Female,Indian,Technician,"51/462
Aggarwal Chowk",Gwalior,Madhya Pradesh,828148,Active,SRC012,0.85,2025-08-15 12:40:20,2024-05-28 17:06:09
P00009,Priya Malhotra,,1996-07-23,Male,Indian,Security Guard,"57/01, Mohanty Path",Ujjain,Madhya Pradesh,039117,Under Review,SRC008,0.81,2026-03-04 23:46:30,2026-08-09 13:53:38
P00010,Ankit Malhotra,,1984-11-02,Female,Indian,Business Owner,"782, Wable Road",Kanpur,Uttar Pradesh,383465,Active,SRC027,0.79,2025-03-02 06:30:47,2025-05-18 14:25:51
