account_id,account_number_hash,account_type,account_holder_person_id,account_holder_organization_id,financial_institution,branch_code,account_opening_date,account_closing_date,status,source_id,confidence_score,created_at,updated_at
A00001,ACCT4194830158,Savings,,O0397,HDFC Bank,BR6143,2020-06-15,,Dormant,SRC020,0.84,2024-07-02 02:09:16,2026-04-30 19:47:24
A00002,ACCT9650481209,Business,P03792,,ICICI Bank,BR4589,2023-10-22,,Closed,SRC016,0.96,2024-10-22 16:11:29,2025-01-23 05:59:04
A00003,ACCT2209413623,Savings,,O0452,Punjab National Bank,BR3210,2024-01-21,,Dormant,SRC026,0.91,2024-01-21 22:40:49,2025-09-09 07:51:39
A00004,ACCT5578857503,Business,,O0164,State Bank of India,BR2790,2023-01-31,,Dormant,SRC022,0.98,2025-06-04 09:28:32,2026-01-10 01:57:05
A00005,ACCT5107474974,Business,P03238,,State Bank of India,BR1750,2019-03-27,,Active,SRC002,0.97,2026-06-13 13:07:39,2026-07-06 06:07:39
A00006,ACCT9686881798,Current,P02041,,State Bank of India,BR2301,2017-09-30,,Active,SRC029,0.83,2025-07-19 01:58:00,2025-10-28 01:04:29
A00007,ACCT3304512685,Business,P03321,,Punjab National Bank,BR9064,2025-06-16,,Closed,SRC020,0.88,2024-08-29 08:58:13,2025-12-08 22:41:07
A00008,ACCT1587241842,Savings,P03972,,ICICI Bank,BR4093,2017-08-26,,Under Review,SRC009,0.9,2026-06-15 04:39:59,2026-07-09 01:39:59
A00009,ACCT2262030472,Business,P00621,,State Bank of India,BR4566,2019-05-27,,Dormant,SRC028,0.93,2025-11-04 17:11:18,2025-11-09 16:11:18
A00010,ACCT4435098266,Business,,O0136,Bank of Baroda,BR1454,2024-03-12,2025-06-04,Dormant,SRC010,0.94,2025-03-16 05:18:38,2025-03-20 08:33:00
A00011,ACCT4993887339,Current,P02296,,State Bank of India,BR8513,2024-03-17,,Under Review,SRC009,0.85,2025-07-27 18:58:33,2026-01-17 16:50:03
A00012,ACCT5008764282,Business,P03693,,ICICI Bank,BR5433,2021-04-02,,Active,SRC022,0.84,2024-11-28 23:21:29,2026-02-02 05:00:01
A00013,ACCT9192924928,Savings,P00231,,Punjab National Bank,BR3714,2017-04-23,,Active,SRC016,0.96,2025-06-28 01:04:20,2025-07-20 09:04:20
A00014,ACCT8914361754,Business,P00771,,ICICI Bank,BR9664,2018-10-04,,Active,SRC027,0.87,2024-05-06 15:34:36,2025-07-19 23:05:31
A00015,ACCT9081792722,Business,P01361,,HDFC Bank,BR8944,2018-10-10,,Active,SRC001,0.87,2025-02-25 17:50:58,2025-04-08 09:28:33
A00016,ACCT8987751033,Savings,,O0291,HDFC Bank,BR4766,2024-07-20,,Dormant,SRC008,0.89,2024-11-28 03:40:06,2024-12-13 16:27:20
A00017,ACCT8472009542,Business,P00137,,Punjab National Bank,BR6011,2021-05-26,,Closed,SRC021,0.89,2024-04-24 10:31:12,2025-12-19 03:54:02
A00018,ACCT8095897879,Current,,O0183,State Bank of India,BR1621,2022-09-08,,Dormant,SRC012,0.82,2024-06-02 17:13:58,2024-08-07 10:01:30
A00019,ACCT6065028701,Business,P00410,,HDFC Bank,BR2091,2018-01-27,,Dormant,SRC027,0.83,2024-09-10 01:34:47,2025-09-05 12:40:30
A00020,ACCT2458218795,Savings,P02306,,Punjab National Bank,BR9705,2017-04-14,,Closed,SRC025,0.84,2024-10-10 22:42:56,2026-04-16 10:57:13
A00021,ACCT7437427355,Current,P01398,,State Bank of India,BR6436,2019-04-05,,Dormant,SRC017,0.95,2026-03-23 15:40:01,2026-04-14 11:40:01
A00022,ACCT7702993856,Savings,P01056,,ICICI Bank,BR9612,2023-03-02,,Under Review,SRC005,0.99,2025-09-28 15:38:40,2025-10-21 13:38:40
A00023,ACCT9925483661,Current,P03136,,ICICI Bank,BR1186,2019-06-16,,Active,SRC026,0.93,2025-03-13 11:22:31,2025-10-10 19:56:47
A00024,ACCT3782009152,Business,,O0442,State Bank of India,BR5921,2024-10-21,,Dormant,SRC022,0.96,2026-01-17 21:07:55,2026-05-18 17:53:57
A00025,ACCT5313886364,Savings,P03482,,Punjab National Bank,BR9056,2018-12-03,,Closed,SRC028,0.83,2025-10-06 10:09:01,2026-05-05 22:07:37
A00026,ACCT1261689750,Savings,P00986,,ICICI Bank,BR6597,2022-03-09,2026-02-15,Dormant,SRC007,0.89,2024-07-27 14:00:33,2024-08-24 19:00:33
A00027,ACCT5255071671,Savings,P01300,,Bank of Baroda,BR9309,2019-11-25,,Closed,SRC025,0.8,2026-01-08 03:30:10,2026-02-02 06:30:10
A00028,ACCT2759369064,Savings,P00554,,HDFC Bank,BR4347,2021-02-23,,Dormant,SRC001,0.82,2025-08-31 20:38:53,2025-09-04 02:38:53
A00029,ACCT4266260284,Current,P01050,,HDFC Bank,BR1880,2017-01-21,,Closed,SRC028,0.93,2025-10-09 17:28:48,2026-06-30 02:27:31
A00030,ACCT1578603771,Business,P02741,,Punjab National Bank,BR3114,2023-04-09,,Dormant,SRC013,0.93,2026-08-05 10:14:03,2026-08-19 11:05:59
A00031,ACCT2902627693,Savings,P00263,,State Bank of India,BR9636,2017-10-08,,Closed,SRC012,0.81,2026-05-10 11:33:53,2026-06-03 10:33:53
A00032,ACCT6546235234,Business,P02300,,State Bank of India,BR7133,2023-07-07,,Dormant,SRC015,0.86,2024-07-19 21:46:44,2026-04-20 21:49:04
A00033,ACCT1035215242,Business,P00945,,Punjab National Bank,BR2581,2019-03-02,,Closed,SRC024,0.91,2024-10-31 08:44:08,2024-11-01 08:44:08
A00034,ACCT4380821276,Current,P00616,,Punjab National Bank,BR2080,2017-01-02,,Closed,SRC016,0.93,2026-07-02 17:28:37,2026-07-05 19:28:37
A00035,ACCT8467845513,Current,P03257,,Punjab National Bank,BR1127,2026-03-08,,Dormant,SRC010,0.81,2026-05-16 13:37:46,2026-05-23 22:37:46
A00036,ACCT1679498092,Savings,P03688,,HDFC Bank,BR8491,2025-04-05,2025-08-22,Active,SRC030,0.93,2026-06-24 05:29:06,2026-07-08 13:29:06
A00037,ACCT1141485726,Business,,O0055,HDFC Bank,BR3472,2022-08-10,,Active,SRC006,0.94,2025-12-22 06:11:23,2026-01-20 04:11:23
A00038,ACCT3604267409,Savings,,O0411,Bank of Baroda,BR9490,2017-01-20,,Dormant,SRC017,0.85,2024-06-20 16:59:25,2024-10-05 03:01:27
A00039,ACCT4795133047,Savings,P01113,,Bank of Baroda,BR9292,2026-08-23,2025-05-18,Under Review,SRC003,0.87,2026-08-03 09:55:51,2026-08-27 15:55:51
A00040,ACCT8142976537,Savings,P03857,,Punjab National Bank,BR3891,2017-11-03,,Closed,SRC008,0.84,2024-08-24 05:22:58,2024-08-24 13:22:58
A00041,ACCT6714404332,Current,P03867,,Bank of Baroda,BR3816,2023-08-01,,Dormant,SRC015,0.81,2024-01-18 06:12:29,2026-07-20 20:16:10
A00042,ACCT2744910590,Savings,P00634,,Bank of Baroda,BR6689,2018-09-23,,Active,SRC015,0.96,2025-04-08 07:11:51,2025-05-06 21:11:51
A00043,ACCT4279451302,Savings,P03246,,ICICI Bank,BR5378,2018-03-17,,Closed,SRC021,0.91,2024-07-04 14:36:48,2025-08-15 01:46:54
A00044,ACCT9250722872,Savings,P01178,,HDFC Bank,BR6343,2025-06-24,,Closed,SRC010,0.86,2024-05-22 21:25:59,2024-06-20 15:25:59
A00045,ACCT5110265971,Current,P00204,,State Bank of India,BR5984,2021-10-03,,Active,SRC021,0.84,2024-02-02 01:21:41,2025-06-05 00:24:36
A00046,ACCT7912443554,Current,,O0309,HDFC Bank,BR3261,2023-02-16,,Under Review,SRC018,0.94,2026-04-22 16:49:24,2026-04-30 08:49:24
A00047,ACCT4661268061,Business,P03528,,Punjab National Bank,BR1407,2024-07-17,,Active,SRC029,0.85,2025-03-03 08:01:45,2025-03-27 17:01:45
A00048,ACCT3695253594,Business,P01259,,HDFC Bank,BR9207,2019-07-11,,Dormant,SRC017,0.86,2026-03-22 11:47:04,2026-03-23 11:47:04
A00049,ACCT1031001369,Current,,O0476,ICICI Bank,BR1213,2023-02-17,,Under Review,SRC016,0.92,2024-07-11 23:47:39,2026-08-10 00:07:38
A00050,ACCT3488352322,Business,P02399,,Bank of Baroda,BR2595,2025-01-16,,Active,SRC004,0.95,2025-01-07 08:11:14,2025-01-22 23:11:14
A00051,ACCT8240558688,Business,,O0066,HDFC Bank,BR8800,2024-11-30,2025-01-11,Dormant,SRC021,0.8,2024-02-13 15:20:50,2026-08-24 21:49:58
A00052,ACCT7778058189,Savings,P00061,,Bank of Baroda,BR4135,2017-10-26,,Under Review,SRC025,0.96,2024-12-25 22:29:53,2026-02-23 04:24:15
A00053,ACCT3301561619,Current,P00983,,HDFC Bank,BR5463,2022-10-09,,Closed,SRC009,0.99,2025-05-21 01:57:41,2025-06-01 19:20:26
A00054,ACCT3944405600,Business,P01084,,Bank of Baroda,BR5460,2021-03-17,,Under Review,SRC030,0.9,2024-01-02 01:29:13,2024-02-03 20:42:53
A00055,ACCT4799933267,Savings,P02240,,Bank of Baroda,BR1817,2026-05-28,2025-06-29,Under Review,SRC012,0.86,2024-05-21 16:20:16,2024-05-22 10:20:16
A00056,ACCT8490768983,Current,P01055,,Punjab National Bank,BR5856,2024-07-21,,Closed,SRC021,0.85,2024-10-13 07:01:08,2026-06-08 23:18:07
A00057,ACCT8647084527,Savings,P03906,,State Bank of India,BR9129,2022-05-27,,Active,SRC016,0.89,2024-11-21 18:03:10,2025-08-18 08:32:50
A00058,ACCT4126105274,Savings,P00405,,ICICI Bank,BR5940,2026-05-14,,Under Review,SRC011,0.91,2025-08-10 13:51:47,2025-08-18 03:51:47
A00059,ACCT9943422317,Current,P00823,,HDFC Bank,BR8435,2026-08-14,,Under Review,SRC013,0.89,2024-01-15 07:28:01,2026-01-01 14:19:39
A00060,ACCT4743081496,Business,P01151,,HDFC Bank,BR5090,2019-04-08,,Closed,SRC013,0.82,2025-10-14 02:44:01,2025-11-07 15:44:01
A00061,ACCT3955338248,Savings,P03931,,ICICI Bank,BR9756,2024-02-23,,Dormant,SRC025,0.89,2026-07-30 08:51:39,2026-08-08 14:51:39
A00062,ACCT7071901321,Business,,O0021,State Bank of India,BR9716,2019-09-30,,Active,SRC017,0.99,2025-02-13 22:21:23,2025-02-22 04:21:23
A00063,ACCT9417524891,Current,,O0491,HDFC Bank,BR3760,2017-07-25,,Dormant,SRC004,0.84,2024-12-17 00:10:24,2024-12-21 02:10:24
A00064,ACCT5517501743,Current,P00450,,Axis Bank,BR5199,2023-06-09,,Active,SRC007,0.95,2025-05-25 14:10:52,2025-06-22 01:10:52
A00065,ACCT9202489054,Current,P02624,,State Bank of India,BR2499,2019-09-11,,Active,SRC022,0.95,2024-09-18 01:14:46,2025-11-16 22:37:21
A00066,ACCT5547568729,Savings,P03749,,Axis Bank,BR8998,2018-08-27,2024-11-12,Active,SRC015,0.85,2025-01-01 13:23:59,2025-08-27 10:49:15
A00067,ACCT6533990246,Business,P01319,,State Bank of India,BR6543,2025-03-02,,Closed,SRC015,0.97,2025-10-23 07:23:16,2026-01-28 17:55:54
A00068,ACCT5993236267,Business,P03645,,Axis Bank,BR7888,2021-12-11,,Dormant,SRC024,0.81,2026-07-23 00:46:13,2026-08-17 19:46:13
A00069,ACCT9315084147,Business,P01772,,State Bank of India,BR9709,2019-12-18,,Active,SRC008,0.95,2024-03-22 00:33:40,2024-04-14 05:33:40
A00070,ACCT2524769592,Business,,O0418,State Bank of India,BR7286,2019-07-22,2025-11-25,Active,SRC017,0.87,2026-03-05 15:53:07,2026-03-27 17:53:07
A00071,ACCT7757691833,Savings,P01874,,ICICI Bank,BR9321,2017-10-31,,Dormant,SRC001,0.83,2024-04-04 13:19:18,2024-05-17 01:09:30
A00072,ACCT7265912868,Current,P03825,,Axis Bank,BR2527,2023-05-28,,Dormant,SRC019,0.9,2024-06-20 12:08:08,2026-08-13 22:49:34
A00073,ACCT5822644981,Current,P00897,,Punjab National Bank,BR1963,2016-10-30,,Under Review,SRC021,0.94,2025-04-20 16:50:29,2026-08-21 10:17:49
A00074,ACCT9043269250,Current,,O0378,Punjab National Bank,BR6552,2026-06-25,,Active,SRC028,0.83,2025-07-30 15:33:55,2026-08-06 22:59:18
A00075,ACCT6159791300,Savings,,O0054,Punjab National Bank,BR1553,2023-09-24,,Active,SRC014,0.91,2026-07-13 08:09:00,2026-07-27 15:09:00
A00076,ACCT1390443721,Savings,P03259,,Bank of Baroda,BR2830,2016-09-11,2026-07-02,Under Review,SRC026,0.88,2024-06-04 11:16:48,2024-12-07 06:04:35
A00077,ACCT4739594766,Savings,,O0055,HDFC Bank,BR2787,2020-07-27,,Active,SRC001,0.83,2025-05-24 01:33:40,2025-08-09 00:00:17
A00078,ACCT3438734140,Current,P02442,,Punjab National Bank,BR8586,2023-12-26,,Under Review,SRC014,0.99,2026-03-03 07:50:12,2026-06-17 08:54:13
A00079,ACCT2769352802,Savings,P03777,,Bank of Baroda,BR7436,2020-05-01,,Active,SRC026,0.94,2024-10-17 02:14:15,2024-11-13 16:14:15
A00080,ACCT8620495435,Savings,P02045,,Bank of Baroda,BR1660,2021-02-04,2025-01-26,Under Review,SRC005,0.91,2026-04-10 03:09:23,2026-05-04 20:09:23
A00081,ACCT2385224583,Savings,P03894,,ICICI Bank,BR7199,2025-09-18,,Closed,SRC009,0.93,2026-03-30 18:02:44,2026-04-03 13:02:44
A00082,ACCT1191338554,Current,,O0016,Bank of Baroda,BR9357,2020-05-28,,Active,SRC028,0.82,2024-02-20 09:10:27,2024-07-31 16:28:52
A00083,ACCT1293069449,Business,P00103,,ICICI Bank,BR1203,2023-04-17,,Closed,SRC010,0.86,2025-09-28 15:59:50,2026-08-23 06:42:03
A00084,ACCT1247014069,Current,P00183,,ICICI Bank,BR6130,2018-01-14,,Active,SRC009,0.92,2024-08-07 13:28:59,2024-12-20 03:02:05
A00085,ACCT6540314352,Current,P01046,,Axis Bank,BR5548,2022-02-04,2026-02-07,Dormant,SRC016,0.89,2026-07-10 04:14:45,2026-08-02 07:14:45
A00086,ACCT6508951017,Savings,,O0070,Punjab National Bank,BR8663,2024-08-09,,Dormant,SRC002,0.98,2024-03-25 09:56:50,2024-04-07 21:56:50
A00087,ACCT2446140265,Savings,P00263,,State Bank of India,BR5155,2019-11-23,,Dormant,SRC029,0.84,2024-08-25 02:33:08,2025-01-30 01:17:18
A00088,ACCT6227549423,Business,P00876,,ICICI Bank,BR3070,2025-01-03,,Closed,SRC029,0.86,2025-01-15 19:37:47,2025-03-20 13:45:40
A00089,ACCT2824647567,Savings,P00918,,Punjab National Bank,BR8805,2017-08-03,,Active,SRC018,0.8,2026-03-25 09:07:46,2026-04-19 01:07:46
A00090,ACCT3888817634,Business,,O0101,HDFC Bank,BR9771,2019-07-22,,Dormant,SRC017,0.93,2025-04-12 01:12:40,2025-04-16 06:12:40
A00091,ACCT4608919028,Business,P00113,,HDFC Bank,BR7958,2020-07-29,,Closed,SRC022,0.81,2024-11-28 15:58:10,2025-03-29 14:51:11
A00092,ACCT7395894266,Current,P03442,,Punjab National Bank,BR8609,2017-12-03,,Under Review,SRC006,0.92,2025-07-27 09:41:54,2025-08-26 13:21:49
A00093,ACCT3525725194,Savings,P02650,,State Bank of India,BR1935,2019-05-26,,Closed,SRC018,0.95,2025-07-05 23:29:01,2025-07-09 03:29:01
A00094,ACCT4038222681,Current,P00359,,Punjab National Bank,BR4299,2023-02-04,,Dormant,SRC016,0.87,2025-08-23 00:31:37,2025-09-01 12:31:37
A00095,ACCT6191020135,Business,P00173,,ICICI Bank,BR8406,2025-11-20,2024-12-07,Active,SRC028,0.95,2025-09-16 03:09:57,2025-09-22 10:09:57
A00096,ACCT9019168741,Current,P00717,,State Bank of India,BR3869,2020-08-09,,Under Review,SRC015,0.83,2024-04-11 14:09:17,2026-03-26 21:24:24
A00097,ACCT1733816232,Savings,P02997,,Bank of Baroda,BR1880,2024-07-21,,Closed,SRC014,0.87,2024-03-01 22:22:48,2025-03-15 17:38:08
A00098,ACCT7872847484,Business,,O0019,ICICI Bank,BR3895,2022-09-20,,Closed,SRC007,0.95,2024-06-21 21:02:37,2025-07-31 19:20:29
A00099,ACCT5655160080,Business,P00360,,ICICI Bank,BR8219,2024-12-02,2025-01-17,Active,SRC010,0.8,2026-06-18 04:05:44,2026-06-20 09:05:44
A00100,ACCT7814006904,Current,P03608,,Punjab National Bank,BR2566,2023-06-23,,Closed,SRC011,0.84,2026-03-07 02:07:42,2026-04-03 21:07:42
A00101,ACCT9249903300,Savings,P00824,,Axis Bank,BR7211,2016-11-19,,Closed,SRC018,0.95,2025-10-01 08:06:28,2025-10-03 12:06:28
A00102,ACCT3355033553,Business,P00022,,Punjab National Bank,BR4263,2018-07-19,,Active,SRC016,0.87,2024-05-14 09:43:43,2024-08-18 13:36:54
A00103,ACCT5127905501,Business,P03017,,Axis Bank,BR2079,2018-01-05,,Closed,SRC015,0.95,2024-01-22 20:22:06,2025-05-23 06:48:47
A00104,ACCT6540489466,Savings,P00793,,Punjab National Bank,BR4449,2020-04-24,,Under Review,SRC026,0.87,2024-10-31 05:12:57,2024-11-05 23:45:48
A00105,ACCT7802791489,Savings,P03406,,HDFC Bank,BR3238,2024-09-26,,Active,SRC021,0.93,2024-04-03 01:02:52,2025-04-20 17:00:09
A00106,ACCT5676331285,Savings,P02108,,Bank of Baroda,BR5495,2017-08-23,,Under Review,SRC010,0.86,2026-03-14 03:29:19,2026-05-14 09:07:32
A00107,ACCT2961956579,Business,,O0328,Axis Bank,BR7046,2022-12-02,,Active,SRC018,0.87,2025-08-04 20:04:42,2026-08-02 07:00:08
A00108,ACCT1795051473,Current,P03096,,ICICI Bank,BR7289,2017-07-12,,Dormant,SRC016,0.85,2025-02-22 12:22:05,2025-03-02 22:22:05
A00109,ACCT5633332453,Business,,O0416,Bank of Baroda,BR9555,2024-11-14,,Dormant,SRC019,0.82,2025-07-18 05:49:33,2025-11-13 00:35:04
A00110,ACCT3195094815,Business,P03167,,Punjab National Bank,BR1910,2024-02-23,2025-01-02,Under Review,SRC023,0.96,2025-07-22 01:18:33,2025-08-12 17:18:33
A00111,ACCT6060834911,Savings,P01815,,Axis Bank,BR3734,2024-06-07,2024-12-20,Under Review,SRC022,0.92,2024-10-18 23:44:30,2024-12-26 01:56:40
A00112,ACCT1279209532,Savings,P03338,,State Bank of India,BR2064,2021-06-20,,Closed,SRC021,0.97,2026-08-06 17:18:49,2026-08-07 05:18:49
A00113,ACCT8343011815,Business,,O0007,Bank of Baroda,BR3804,2024-09-05,,Dormant,SRC003,0.85,2025-01-02 15:22:12,2025-10-15 03:22:58
A00114,ACCT3839044311,Current,P02079,,HDFC Bank,BR2768,2022-01-03,,Closed,SRC030,0.89,2024-12-21 16:08:30,2025-07-15 21:46:43
A00115,ACCT9690055636,Business,P01463,,ICICI Bank,BR7770,2025-12-21,2025-06-12,Active,SRC015,0.87,2026-02-22 09:51:12,2026-03-13 15:51:12
A00116,ACCT7147047513,Business,P03253,,ICICI Bank,BR8541,2025-09-27,,Closed,SRC005,0.82,2026-04-13 19:26:55,2026-08-11 11:07:55
A00117,ACCT3913147992,Current,P03768,,Punjab National Bank,BR6224,2018-07-29,,Active,SRC014,0.83,2025-02-18 14:26:57,2025-03-13 12:26:57
A00118,ACCT3068798715,Savings,P01874,,HDFC Bank,BR1742,2020-07-02,,Under Review,SRC030,0.92,2026-07-25 07:23:12,2026-07-31 15:23:12
A00119,ACCT9088524124,Current,P03339,,Punjab National Bank,BR9231,2024-09-07,,Dormant,SRC006,0.84,2024-02-13 13:11:18,2024-11-10 13:16:58
A00120,ACCT9256953105,Savings,P00509,,State Bank of India,BR1074,2026-06-30,,Dormant,SRC005,0.93,2024-10-02 23:03:59,2025-06-22 00:55:00
A00121,ACCT8924317037,Current,P03030,,Axis Bank,BR5574,2024-03-15,,Under Review,SRC007,0.86,2026-07-13 22:07:16,2026-07-24 09:07:16
A00122,ACCT6411888532,Current,,O0017,Punjab National Bank,BR5447,2018-11-06,,Active,SRC018,0.96,2024-08-27 16:33:27,2025-06-20 18:04:20
A00123,ACCT8508573548,Savings,P00943,,HDFC Bank,BR7888,2024-08-31,,Dormant,SRC024,0.88,2025-08-01 16:12:36,2025-08-21 03:12:36
A00124,ACCT1825204850,Current,P02166,,State Bank of India,BR5268,2025-01-29,,Dormant,SRC013,0.89,2024-11-11 17:46:52,2025-10-16 09:26:20
A00125,ACCT7604131255,Current,P00866,,HDFC Bank,BR8152,2023-05-13,,Active,SRC012,0.88,2026-03-10 09:52:30,2026-03-18 10:52:30
A00126,ACCT3644084365,Savings,P02280,,ICICI Bank,BR2069,2016-10-01,,Active,SRC003,0.91,2024-01-19 18:09:03,2026-03-05 18:44:40
A00127,ACCT4775325141,Business,P02918,,Punjab National Bank,BR3732,2018-08-03,,Closed,SRC028,0.83,2024-01-30 21:08:42,2026-07-13 08:29:58
A00128,ACCT7374601869,Savings,P03245,,Bank of Baroda,BR8343,2024-06-18,,Active,SRC020,0.93,2025-04-17 04:49:32,2025-11-23 06:11:27
A00129,ACCT3460902034,Business,,O0017,State Bank of India,BR9171,2026-02-18,,Closed,SRC004,0.92,2024-09-12 21:51:02,2025-02-21 02:44:55
A00130,ACCT8078653912,Business,,O0013,ICICI Bank,BR2152,2020-02-21,,Active,SRC016,0.84,2026-08-09 02:09:26,2026-08-18 10:09:26
A00131,ACCT4057197298,Current,P00282,,Punjab National Bank,BR9904,2017-12-19,,Active,SRC028,0.91,2026-08-19 14:35:45,2026-09-04 03:35:45
A00132,ACCT8735253518,Business,,O0362,Bank of Baroda,BR1560,2018-11-15,,Under Review,SRC023,0.86,2026-02-25 00:42:00,2026-03-19 05:42:00
A00133,ACCT1097689202,Business,P01644,,Punjab National Bank,BR7996,2023-09-01,,Dormant,SRC010,0.96,2024-12-27 12:13:01,2025-01-12 16:13:01
A00134,ACCT7289920673,Business,P03382,,Axis Bank,BR9680,2025-03-10,,Closed,SRC002,0.94,2026-03-27 00:29:15,2026-03-31 21:29:15
A00135,ACCT8096780455,Savings,,O0092,Punjab National Bank,BR5528,2017-09-30,,Active,SRC011,0.83,2024-07-29 20:48:10,2026-06-05 14:58:02
A00136,ACCT1217889235,Savings,P03488,,ICICI Bank,BR2158,2026-08-07,,Active,SRC020,0.99,2024-12-14 16:19:22,2024-12-28 19:19:22
