alias_id,entity_type,entity_id,alias_value,alias_type,source_id,confidence_score,created_at
AL000001,PERSON,P00001,Neha Patel,NAME_VARIATION,SRCU009,0.94,2026-03-14 19:41:18
AL000002,PERSON,P00001,N. Patel,NAME_VARIATION,SRCU009,0.94,2025-07-19 10:46:52
AL000003,PERSON,P00002,Isha Tiwari,NAME_VARIATION,SRCU012,0.89,2026-12-25 15:18:04
AL000004,PERSON,P00002,I. Tiwari,NAME_VARIATION,SRCU010,0.85,2025-05-06 01:24:10
AL000005,PERSON,P00003,Yash Sharma,NAME_VARIATION,SRCU009,0.85,2025-06-12 21:57:42
AL000006,PERSON,P00003,Y. Sharma,NAME_VARIATION,SRCU012,0.93,2026-10-04 12:31:30
AL000007,PERSON,P00004,Riya Sharma,NAME_VARIATION,SRCU009,0.89,2026-09-27 14:48:58
AL000008,PERSON,P00004,R. Sharma,NAME_VARIATION,SRCU012,0.91,2025-07-06 06:51:55
AL000009,PERSON,P00005,Sanjay Patel,NAME_VARIATION,SRCU012,0.92,2025-12-18 11:55:24
AL000010,PERSON,P00005,S. Patel,NAME_VARIATION,SRCU012,0.94,2026-05-21 14:41:43
AL000011,PERSON,P00006,Isha Yadav,NAME_VARIATION,SRCU010,0.91,2025-06-23 08:31:41
AL000012,PERSON,P00006,I. Yadav,NAME_VARIATION,SRCU013,0.96,2026-04-04 19:39:38
AL000013,PERSON,P00007,Yash Saxena,NAME_VARIATION,SRCU010,0.89,2026-05-07 13:13:31
AL000014,PERSON,P00007,Y. Saxena,NAME_VARIATION,SRCU009,0.97,2026-01-02 18:05:46
AL000015,PERSON,P00008,Aditya Jain,NAME_VARIATION,SRCU011,0.86,2026-10-09 11:40:11
AL000016,PERSON,P00008,A. Jain,NAME_VARIATION,SRCU012,0.90,2025-04-16 21:19:19
AL000017,PERSON,P00009,Priya Malhotra,NAME_VARIATION,SRCU010,0.84,2026-12-19 13:26:23
AL000018,PERSON,P00009,P. Malhotra,NAME_VARIATION,SRCU009,0.93,2025-09-04 06:36:08
AL000019,PERSON,P00010,Ankit Malhotra,NAME_VARIATION,SRCU010,0.83,2025-12-25 05:16:20
AL000020,PERSON,P00010,A. Malhotra,NAME_VARIATION,SRCU013,0.83,2026-02-28 06:24:18
AL000021,PERSON,P00011,Sanjay Chauhan,NAME_VARIATION,SRCU011,0.95,2025-04-24 04:28:34
AL000022,PERSON,P00011,S. Chauhan,NAME_VARIATION,SRCU012,0.86,2026-12-04 01:12:48
AL000023,PERSON,P00012,Nandini Yadav,NAME_VARIATION,SRCU012,0.86,2026-12-17 03:16:26
AL000024,PERSON,P00012,N. Yadav,NAME_VARIATION,SRCU010,0.95,2025-12-10 08:19:19
AL000025,PERSON,P00013,Amit Shah,NAME_VARIATION,SRCU013,0.96,2025-10-26 04:04:51
AL000026,PERSON,P00013,A. Shah,NAME_VARIATION,SRCU010,0.88,2025-01-24 04:18:47
AL000027,PERSON,P00014,Riya Patel,NAME_VARIATION,SRCU012,0.96,2025-04-24 04:23:12
AL000028,PERSON,P00014,R. Patel,NAME_VARIATION,SRCU010,0.90,2026-03-17 14:15:07
AL000029,PERSON,P00015,Deepak Bansal,NAME_VARIATION,SRCU012,0.92,2026-03-11 12:05:00
AL000030,PERSON,P00015,D. Bansal,NAME_VARIATION,SRCU012,0.87,2026-07-11 20:38:52
AL000031,PERSON,P00016,Karan Joshi,NAME_VARIATION,SRCU012,0.86,2025-11-20 07:36:40
AL000032,PERSON,P00016,K. Joshi,NAME_VARIATION,SRCU009,0.83,2025-05-10 01:32:51
AL000033,PERSON,P00017,Karan Bansal,NAME_VARIATION,SRCU009,0.87,2025-05-10 03:22:34
AL000034,PERSON,P00017,K. Bansal,NAME_VARIATION,SRCU012,0.91,2026-07-08 20:34:24
AL000035,PERSON,P00018,Rohan Saxena,NAME_VARIATION,SRCU013,0.87,2025-01-03 08:16:43
AL000036,PERSON,P00018,R. Saxena,NAME_VARIATION,SRCU013,0.82,2025-04-26 10:34:39
AL000037,PERSON,P00019,Nandini Saxena,NAME_VARIATION,SRCU010,0.89,2025-11-05 12:32:03
AL000038,PERSON,P00019,N. Saxena,NAME_VARIATION,SRCU012,0.91,2026-10-13 11:04:05
AL000039,PERSON,P00020,Sneha Mehta,NAME_VARIATION,SRCU010,0.94,2026-10-27 14:26:33
AL000040,PERSON,P00020,S. Mehta,NAME_VARIATION,SRCU010,0.92,2025-02-21 17:25:08
AL000041,PERSON,P00021,Riya Deshmukh,NAME_VARIATION,SRCU009,0.83,2026-11-22 10:37:23
AL000042,PERSON,P00021,R. Deshmukh,NAME_VARIATION,SRCU011,0.98,2025-09-20 17:49:30
AL000043,PERSON,P00022,Deepak Bansal,NAME_VARIATION,SRCU010,0.83,2025-10-13 06:50:43
AL000044,PERSON,P00022,D. Bansal,NAME_VARIATION,SRCU011,0.96,2025-08-28 13:58:30
AL000045,PERSON,P00023,Vikram Shah,NAME_VARIATION,SRCU011,0.94,2026-10-02 10:40:20
AL000046,PERSON,P00023,V. Shah,NAME_VARIATION,SRCU010,0.91,2025-07-02 05:45:54
AL000047,PERSON,P00024,Sanjay Mehta,NAME_VARIATION,SRCU010,0.82,2025-04-14 04:57:29
AL000048,PERSON,P00024,S. Mehta,NAME_VARIATION,SRCU012,0.93,2025-03-22 10:01:19
AL000049,PERSON,P00025,Meera Shah,NAME_VARIATION,SRCU009,0.94,2025-03-31 06:00:18
AL000050,PERSON,P00025,M. Shah,NAME_VARIATION,SRCU011,0.95,2025-05-09 08:26:55
AL000051,PERSON,P00026,Amit Saxena,NAME_VARIATION,SRCU013,0.92,2025-07-28 05:14:42
AL000052,PERSON,P00026,A. Saxena,NAME_VARIATION,SRCU012,0.94,2025-06-07 00:43:39
AL000053,PERSON,P00027,Kavya Patel,NAME_VARIATION,SRCU011,0.84,2026-10-26 02:25:25
AL000054,PERSON,P00027,K. Patel,NAME_VARIATION,SRCU010,0.98,2025-05-05 10:30:33
AL000055,PERSON,P00028,Vikram Mehta,NAME_VARIATION,SRCU011,0.84,2026-06-05 20:09:14
AL000056,PERSON,P00028,V. Mehta,NAME_VARIATION,SRCU009,0.87,2026-12-03 11:58:04
AL000057,PERSON,P00029,Aditya Jain,NAME_VARIATION,SRCU009,0.93,2026-12-21 11:12:07
AL000058,PERSON,P00029,A. Jain,NAME_VARIATION,SRCU010,0.84,2026-08-01 14:20:13
AL000059,PERSON,P00030,Ankit Sharma,NAME_VARIATION,SRCU010,0.91,2026-01-01 19:49:17
AL000060,PERSON,P00030,A. Sharma,NAME_VARIATION,SRCU013,0.87,2026-09-06 00:44:47
AL000061,PERSON,P00031,Kavya Tiwari,NAME_VARIATION,SRCU012,0.83,2025-04-13 05:39:54
AL000062,PERSON,P00031,K. Tiwari,NAME_VARIATION,SRCU012,0.87,2025-01-06 18:51:11
AL000063,PERSON,P00032,Vihaan Joshi,NAME_VARIATION,SRCU012,0.94,2025-06-07 08:19:13
AL000064,PERSON,P00032,V. Joshi,NAME_VARIATION,SRCU011,0.95,2025-05-30 15:27:50
AL000065,PERSON,P00033,Varun Mehta,NAME_VARIATION,SRCU011,0.86,2026-04-29 04:56:14
AL000066,PERSON,P00033,V. Mehta,NAME_VARIATION,SRCU011,0.92,2025-02-21 13:41:11
AL000067,PERSON,P00034,Siddharth Jain,NAME_VARIATION,SRCU011,0.92,2026-03-08 08:57:43
AL000068,PERSON,P00034,S. Jain,NAME_VARIATION,SRCU011,0.98,2025-05-02 01:20:56
AL000069,PERSON,P00035,Sanjay Malhotra,NAME_VARIATION,SRCU012,0.91,2025-01-20 05:13:22
AL000070,PERSON,P00035,S. Malhotra,NAME_VARIATION,SRCU009,0.88,2026-05-03 00:02:24
AL000071,PERSON,P00036,Neha Agarwal,NAME_VARIATION,SRCU012,0.94,2025-04-12 19:49:42
AL000072,PERSON,P00036,N. Agarwal,NAME_VARIATION,SRCU009,0.93,2025-01-08 08:54:25
AL000073,PERSON,P00037,Arjun Mehta,NAME_VARIATION,SRCU009,0.96,2026-04-25 21:58:00
AL000074,PERSON,P00037,A. Mehta,NAME_VARIATION,SRCU010,0.91,2025-10-12 13:03:01
AL000075,PERSON,P00038,Vikram Saxena,NAME_VARIATION,SRCU013,0.83,2026-03-15 03:37:35
AL000076,PERSON,P00038,V. Saxena,NAME_VARIATION,SRCU011,0.86,2026-10-22 03:33:14
AL000077,PERSON,P00039,Sneha Tiwari,NAME_VARIATION,SRCU013,0.84,2025-07-08 00:10:43
AL000078,PERSON,P00039,S. Tiwari,NAME_VARIATION,SRCU012,0.97,2025-12-05 06:46:24
AL000079,PERSON,P00040,Isha Tiwari,NAME_VARIATION,SRCU011,0.98,2025-09-19 23:51:02
AL000080,PERSON,P00040,I. Tiwari,NAME_VARIATION,SRCU012,0.84,2026-10-15 02:07:02
AL000081,PERSON,P00041,Karan Bansal,NAME_VARIATION,SRCU012,0.83,2026-12-01 14:31:51
AL000082,PERSON,P00041,K. Bansal,NAME_VARIATION,SRCU011,0.91,2025-07-25 09:34:29
AL000083,PERSON,P00042,Vihaan Sharma,NAME_VARIATION,SRCU010,0.97,2026-02-02 19:04:55
AL000084,PERSON,P00042,V. Sharma,NAME_VARIATION,SRCU011,0.96,2025-02-28 22:15:08
AL000085,PERSON,P00043,Amit Tiwari,NAME_VARIATION,SRCU011,0.86,2026-12-15 08:01:46
AL000086,PERSON,P00043,A. Tiwari,NAME_VARIATION,SRCU011,0.88,2025-04-06 17:43:08
AL000087,PERSON,P00044,Raj Singh,NAME_VARIATION,SRCU010,0.88,2025-12-19 15:46:38
AL000088,PERSON,P00044,R. Singh,NAME_VARIATION,SRCU013,0.95,2025-09-01 06:46:55
AL000089,PERSON,P00045,Priya Jain,NAME_VARIATION,SRCU012,0.86,2025-10-29 08:04:26
AL000090,PERSON,P00045,P. Jain,NAME_VARIATION,SRCU012,0.97,2025-03-29 07:47:29
AL000091,PERSON,P00046,Vikram Khan,NAME_VARIATION,SRCU010,0.84,2025-09-28 13:04:16
AL000092,PERSON,P00046,V. Khan,NAME_VARIATION,SRCU009,0.95,2025-06-24 15:19:43
AL000093,PERSON,P00047,Nandini Mishra,NAME_VARIATION,SRCU012,0.94,2026-02-21 18:22:07
AL000094,PERSON,P00047,N. Mishra,NAME_VARIATION,SRCU012,0.97,2026-04-02 03:40:49
AL000095,PERSON,P00048,Rahul Yadav,NAME_VARIATION,SRCU010,0.87,2026-04-27 21:02:18
AL000096,PERSON,P00048,R. Yadav,NAME_VARIATION,SRCU013,0.85,2026-12-10 15:22:58
AL000097,PERSON,P00049,Sanjay Malhotra,NAME_VARIATION,SRCU012,0.91,2026-04-28 19:46:53
AL000098,PERSON,P00049,S. Malhotra,NAME_VARIATION,SRCU009,0.89,2026-05-02 17:19:29
AL000099,PERSON,P00050,Sneha Tiwari,NAME_VARIATION,SRCU012,0.98,2026-09-06 16:41:38
AL000100,PERSON,P00050,S. Tiwari,NAME_VARIATION,SRCU011,0.86,2026-12-22 15:46:45
AL000101,PERSON,P00051,Karan Verma,NAME_VARIATION,SRCU010,0.92,2025-04-21 23:24:44
AL000102,PERSON,P00051,K. Verma,NAME_VARIATION,SRCU013,0.88,2026-06-18 08:38:34
AL000103,PERSON,P00052,Arjun Chauhan,NAME_VARIATION,SRCU010,0.93,2026-01-08 01:51:39
AL000104,PERSON,P00052,A. Chauhan,NAME_VARIATION,SRCU009,0.84,2026-08-26 06:33:55
AL000105,PERSON,P00053,Raj Gupta,NAME_VARIATION,SRCU012,0.96,2026-01-22 21:02:21
AL000106,PERSON,P00053,R. Gupta,NAME_VARIATION,SRCU013,0.86,2026-12-30 09:53:54
AL000107,PERSON,P00054,Isha Agarwal,NAME_VARIATION,SRCU012,0.91,2026-06-18 03:06:49
AL000108,PERSON,P00054,I. Agarwal,NAME_VARIATION,SRCU013,0.87,2026-01-01 04:48:50
AL000109,PERSON,P00055,Rohan Gupta,NAME_VARIATION,SRCU012,0.87,2026-10-06 23:11:41
AL000110,PERSON,P00055,R. Gupta,NAME_VARIATION,SRCU009,0.88,2025-05-26 02:48:37
AL000111,PERSON,P00056,Raj Sharma,NAME_VARIATION,SRCU009,0.88,2025-04-08 06:29:40
AL000112,PERSON,P00056,R. Sharma,NAME_VARIATION,SRCU011,0.92,2026-10-01 01:38:27
AL000113,PERSON,P00057,Deepak Yadav,NAME_VARIATION,SRCU013,0.85,2025-06-18 21:35:47
AL000114,PERSON,P00057,D. Yadav,NAME_VARIATION,SRCU012,0.93,2026-01-24 10:30:28
AL000115,PERSON,P00058,Yash Joshi,NAME_VARIATION,SRCU011,0.95,2025-09-04 17:03:33
