observation_id,observation_type,entity_type,entity_id,location_id,observation_timestamp,description,vehicle_id,source_system,observer_type,evidence_id,confidence_score,created_at
OBS000001,CCTV,VEHICLE,V00669,L01842,2026-04-07 22:41:59,Vehicle MH01CD7031 was observed near Industrial Area 778 in Lucknow.,V00669,CCTV_Network,CCTV_System,EV11001,0.94,2026-07-15 18:39:34
OBS000002,SURVEILLANCE,PERSON,P02022,L00648,2025-10-31 01:42:59,Person Yash Shah was observed near Apartment 432 in Vadodara.,V00934,ANPR_System,CCTV_System,EV11002,0.89,2026-01-17 08:57:32
OBS000003,PATROL,VEHICLE,V01077,L00717,2026-07-17 09:13:14,Source PATROL recorded DL44EF5005 at Junction 95 around 09:13.,V01077,Field_Log,Analyst,EV11003,0.84,2025-02-20 14:33:58
OBS000004,INTELLIGENCE,ORGANIZATION,O0236,L02210,2025-05-01 03:36:56,Source INTELLIGENCE recorded Bansal Trading at Office 936 around 03:36.,,CCTV_Network,Analyst,EV11004,0.75,2025-01-16 23:18:02
OBS000005,ANPR,VEHICLE,V00597,L01992,2025-08-12 10:42:19,An observation associated MH98EF4020 with the area around Hotel 320; corroboration is required.,V00597,Field_Log,Patrol_Unit,EV11005,0.77,2025-02-11 22:49:25
OBS000006,FIELD_OBSERVATION,ACCOUNT,A00963,L01187,2025-09-08 07:01:55,Account ACCT****9654 was observed near Apartment 488 in Pune.,,Synthetic_Intelligence_Feed,CCTV_System,EV11006,0.90,2026-06-22 18:26:00
OBS000007,CCTV,ORGANIZATION,O0341,L02306,2026-11-12 01:03:02,Organization Jain Solutions was observed near Market 960 in Jabalpur.,,Synthetic_Intelligence_Feed,Officer,EV11007,0.84,2025-10-09 01:35:17
OBS000008,SURVEILLANCE,ACCOUNT,A00404,L00702,2026-04-30 22:42:11,An observation associated ACCT****4447 with the area around Warehouse 398; corroboration is required.,,Synthetic_Intelligence_Feed,Patrol_Unit,EV11008,0.87,2025-05-03 17:18:06
OBS000009,PATROL,ORGANIZATION,O0451,L01494,2025-11-10 06:57:40,Organization Sharma Solutions was observed near Mall 850 in Hyderabad.,,Field_Log,Officer,EV11009,0.88,2025-05-31 01:16:04
OBS000010,INTELLIGENCE,ORGANIZATION,O0281,L00327,2026-05-21 15:17:53,Source INTELLIGENCE recorded Yadav Solutions at Industrial Area 626 around 15:17.,,CCTV_Network,Patrol_Unit,EV11010,0.95,2026-02-16 08:23:20
OBS000011,ANPR,PERSON,P01355,L01649,2025-08-23 13:39:18,Source ANPR recorded Sneha Saxena at Mall 411 around 13:39.,,Field_Log,Automated_Camera,EV11011,0.87,2025-01-08 03:35:54
OBS000012,FIELD_OBSERVATION,PERSON,P02459,L00552,2025-06-29 22:59:14,Person Siddharth Mishra was observed near Hotel 238 in Pune.,,ANPR_System,Patrol_Unit,EV11012,0.97,2026-08-19 09:44:03
OBS000013,CCTV,PHONE,PH00286,L01549,2026-02-13 07:36:29,Source CCTV recorded 965****718 at Market 240 around 07:36.,,Field_Log,CCTV_System,EV11013,0.81,2026-04-19 03:03:43
OBS000014,SURVEILLANCE,PHONE,PH04150,L01329,2025-05-13 00:56:22,An observation associated 974****399 with the area around Market 641; corroboration is required.,,ANPR_System,Automated_Camera,EV11014,0.85,2025-03-19 04:18:12
OBS000015,PATROL,PERSON,P00765,L00713,2025-02-07 04:19:03,An observation associated Priya Verma with the area around Road 721; corroboration is required.,V00003,CCTV_Network,Analyst,EV11015,0.80,2026-12-18 08:43:56
OBS000016,INTELLIGENCE,PHONE,PH03975,L00037,2025-12-13 02:48:10,Phone 996****418 was observed near Industrial Area 32 in Nagpur.,,CCTV_Network,CCTV_System,EV11016,0.81,2026-02-13 04:02:24
OBS000017,ANPR,PHONE,PH04216,L00803,2026-07-04 14:55:16,Phone 986****972 was observed near Industrial Area 648 in Pune.,,CCTV_Network,Analyst,EV11017,0.94,2026-11-07 18:47:31
OBS000018,FIELD_OBSERVATION,PERSON,P00209,L00758,2026-06-27 17:34:20,Person Isha Mishra was observed near Office 217 in Gwalior.,,Field_Log,Analyst,EV11018,0.77,2025-08-17 06:09:38
OBS000019,CCTV,PERSON,P03502,L01706,2025-05-13 03:58:33,Person Riya Agarwal was observed near Office 511 in Nagpur.,,CCTV_Network,Patrol_Unit,EV11019,0.93,2025-08-21 10:19:11
OBS000020,SURVEILLANCE,PERSON,P02383,L00785,2025-10-18 17:16:50,Person Meera Joshi was observed near Market 994 in Dewas.,,CCTV_Network,CCTV_System,EV11020,0.73,2025-01-17 03:01:22
OBS000021,PATROL,VEHICLE,V01128,L02160,2025-12-22 12:11:33,An observation associated GJ25JK4487 with the area around Warehouse 16; corroboration is required.,V01128,ANPR_System,CCTV_System,EV11021,0.91,2026-10-04 16:46:16
OBS000022,INTELLIGENCE,PERSON,P00179,L01447,2026-07-27 00:18:25,An observation associated Sanjay Mehta with the area around Road 140; corroboration is required.,,Field_Log,CCTV_System,EV11022,0.74,2025-09-08 20:12:12
OBS000023,ANPR,PERSON,P02970,L00991,2026-11-12 21:13:41,An observation associated Vikram Joshi with the area around Station 685; corroboration is required.,,Synthetic_Intelligence_Feed,Automated_Camera,EV11023,0.81,2026-04-23 03:06:34
OBS000024,FIELD_OBSERVATION,PERSON,P00301,L01197,2026-09-02 20:04:14,Source FIELD_OBSERVATION recorded Amit Khan at Apartment 640 around 20:04.,,ANPR_System,Patrol_Unit,EV11024,0.96,2026-08-23 10:30:45
OBS000025,CCTV,ORGANIZATION,O0429,L00646,2025-12-01 19:38:24,Source CCTV recorded Mehta Industries at Station 618 around 19:38.,,CCTV_Network,Officer,EV11025,0.83,2025-06-30 11:28:59
OBS000026,SURVEILLANCE,ORGANIZATION,O0203,L00114,2025-03-30 09:49:19,Organization Agarwal Solutions was observed near Road 901 in Delhi.,,CCTV_Network,Officer,EV11026,0.95,2025-07-30 20:28:49
OBS000027,PATROL,PERSON,P02001,L00820,2026-03-18 17:16:30,Source PATROL recorded Aditya Joshi at Apartment 248 around 17:16.,,ANPR_System,Patrol_Unit,EV11027,0.90,2025-06-21 21:51:41
OBS000028,INTELLIGENCE,PERSON,P00307,L00521,2026-04-07 01:23:25,Person Kabir Joshi was observed near Office 927 in Bhopal.,,Field_Log,Analyst,EV11028,0.79,2026-08-11 08:02:03
OBS000029,ANPR,PERSON,P02529,L00572,2025-11-02 04:18:04,Person Aarav Singh was observed near Road 254 in Jabalpur.,,ANPR_System,Patrol_Unit,EV11029,0.76,2025-04-17 10:32:23
OBS000030,FIELD_OBSERVATION,ACCOUNT,A00603,L02010,2026-06-28 07:22:27,Source FIELD_OBSERVATION recorded ACCT****8495 at Warehouse 477 around 07:22.,,Field_Log,Officer,EV11030,0.82,2026-01-17 12:43:28
OBS000031,CCTV,ORGANIZATION,O0089,L00846,2025-04-17 22:12:29,An observation associated Saxena Solutions with the area around Mall 991; corroboration is required.,,CCTV_Network,Analyst,EV11031,0.83,2026-08-15 05:48:55
OBS000032,SURVEILLANCE,ORGANIZATION,O0292,L02392,2026-03-01 12:21:14,Source SURVEILLANCE recorded Shah Transport at Market 197 around 12:21.,,Synthetic_Intelligence_Feed,Analyst,EV11032,0.79,2026-10-21 14:51:53
OBS000033,PATROL,ACCOUNT,A00546,L02389,2026-03-31 21:32:11,Source PATROL recorded ACCT****0832 at Hotel 828 around 21:32.,,ANPR_System,Analyst,EV11033,0.89,2025-12-17 22:02:40
OBS000034,INTELLIGENCE,ORGANIZATION,O0410,L00975,2026-02-02 07:02:01,Source INTELLIGENCE recorded Rathore Logistics at Road 983 around 07:02.,,Field_Log,Automated_Camera,EV11034,0.86,2025-04-24 12:06:20
OBS000035,ANPR,ORGANIZATION,O0445,L00523,2025-07-19 12:47:15,Organization Verma Trading was observed near Junction 274 in Hyderabad.,,Field_Log,Patrol_Unit,EV11035,0.77,2025-11-09 17:33:47
OBS000036,FIELD_OBSERVATION,PERSON,P00109,L00959,2025-10-21 23:55:27,Source FIELD_OBSERVATION recorded Mohit Yadav at Station 652 around 23:55.,,Field_Log,Automated_Camera,EV11036,0.85,2025-10-22 13:10:08
OBS000037,CCTV,PERSON,P03796,L02075,2025-04-05 13:31:45,An observation associated Ankit Khan with the area around Market 148; corroboration is required.,,ANPR_System,CCTV_System,EV11037,0.75,2026-10-28 03:38:49
